measure,pattern,diff_during_pre,se_during_pre,p_during_pre,diff_after_pre,se_after_pre,p_after_pre,diff_after_during,se_after_during,p_after_during,diff_during_after,se_during_after,p_during_after,mean_pre,n_pre,mean_during,n_during,mean_after,n_after
male,Other/mixed,-0.14669173519309572,0.07071452587411298,0.019089956812998115,-0.0811077566357424,0.07236467709504982,0.13125595690479708,0.06558397855735332,0.06317726081780048,0.14968167157433362,-0.06558397855735332,0.06317726081780048,0.14968167157433362,0.8783499133676682,446,0.7329143721363605,731,0.7981372738742839,653
Culture,Other/mixed,-0.2557995463675289,0.13337727325563561,0.02764196248470337,-0.07388397767247573,0.13650774300988203,0.2942027491407787,0.18191556869505315,0.1189975354728755,0.06325176278313564,-0.18191556869505315,0.1189975354728755,0.06325176278313564,1.4776792890726085,446,1.2083860633909875,731,1.3945580405097104,653
politic,No change,-0.017169890048947218,0.026180845058288448,0.25601165148074356,-0.00763820331840248,0.02684706417694293,0.38802669075580715,0.009531686730544737,0.023234248810107792,0.3408379199286615,-0.009531686730544737,0.023234248810107792,0.3408379199286615,0.21573964170954263,446,0.19016070151724046,731,0.2055832754986052,653
ethnicity,Other/mixed,0.07666584964462189,0.02829934758773701,0.003404766566412891,0.03133680540970297,0.029005857512518766,0.14006196077984404,-0.045329044234918923,0.025180976530838787,0.03600246648451081,0.045329044234918923,0.025180976530838787,0.03600246648451081,0.18061405112313975,446,0.2576093954630454,731,0.21062866904243738,653
tech,Other/mixed,-0.31207004091088003,0.12833323501024757,0.007561502506123281,-0.09673091479129145,0.13131676437463297,0.23072318790143947,0.21533912611958858,0.11461273097588935,0.030212632521631325,-0.21533912611958858,0.11461273097588935,0.030212632521631325,1.0816406757286314,446,0.7613274147665171,731,0.9791391500523736,653
Lifestyle,Other/mixed,0.13390929522215103,0.14291561891129964,0.17444594864602314,-0.10198953931239296,0.14674706736213305,0.24357114047628686,-0.235898834534544,0.12668523235336732,0.03137568337394432,0.235898834534544,0.12668523235336732,0.03137568337394432,3.9054021508727854,446,4.041206044076383,731,3.7937840594714323,653
leisure,Other/mixed,-0.10074345567098532,0.06236299849436251,0.05319444498740697,-0.11860336086143813,0.06386665894812804,0.03173267972537563,-0.017859905190452816,0.05563521905040009,0.37411674380475657,0.017859905190452816,0.05563521905040009,0.37411674380475657,0.8131975203165049,446,0.7091438959090751,731,0.6894537492328823,653
home,Other/mixed,0.04046840808683109,0.03145251004398947,0.09918945648283396,-0.022981966316464708,0.032209015069120044,0.2378057639420224,-0.06345037440329579,0.028042317597052918,0.01188665516211771,0.06345037440329579,0.028042317597052918,0.01188665516211771,0.2486261367813034,446,0.290448393472512,731,0.22576959897788806,653
work,Other/mixed,0.16488080662126006,0.11362689681660916,0.07346574392686787,0.03399669336777197,0.11670077185010204,0.38542171638419437,-0.1308841132534881,0.1006519886938824,0.09682031120250081,0.1308841132534881,0.1006519886938824,0.09682031120250081,2.003874160720827,446,2.193155239267346,731,2.0438814139597423,653
money,No change,0.040215515433605784,0.059048231463848376,0.24795923753600146,0.016064092735009826,0.060531263396926646,0.39537139349391004,-0.024151422698595958,0.052529460429904876,0.32286833521671365,0.024151422698595958,0.052529460429904876,0.32286833521671365,0.7527553637319034,446,0.7914271277764501,731,0.7730110432728113,653
